"ID";"step";"correct";"orientation";"response";"startTimeOfStimulus";"startTimeOfSubBlock";"time_Stimulus";"deg";"reactionTime";"outlier";"type";"typeOutlier";"correctSide";"modelNumber";"originalDegrees";"direction";"outlierPhys";"relativeResistance"
"id14";1;1;"a";"right";9159;1076998;1086161;135;5843;FALSE;"hit";"hit";"right";"m7";135;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";15502;1076998;1092511;45;2557;FALSE;"hit";"hit";"left";"m7";45;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";24582;1076998;1101584;135;4004;FALSE;"hit";"hit";"right";"m8";135;"+";"noOutlier";0.571428571428571
"id14";1;0;"a";"left";29086;1076998;1106087;45;5595;FALSE;"incorrect";"incorrect";"right";"m2";315;"-";"noOutlier";0.571428571428571
"id14";1;1;"b";"right";18559;1076998;1095567;135;2436;FALSE;"hit";"hit";"right";"m14";225;"-";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";69644;1076998;1146645;180;6303;FALSE;"hit";"hit";"right";"m12";180;"0";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";41008;1076998;1118009;90;1755;FALSE;"hit";"hit";"left";"m2";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";35181;1076998;1112183;90;1989;FALSE;"hit";"hit";"left";"m14";90;"+";"noOutlier";0.571428571428571
"id14";1;0;"a";"left";21495;1076998;1098503;180;2587;FALSE;"incorrect";"incorrect";"right";"m8";180;"0";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";0;1076998;1077002;135;2881;FALSE;"hit";"hit";"right";"m5";135;"+";"noOutlier";0.571428571428571
"id14";1;0;"b";"right";3381;1076998;1080382;90;5278;FALSE;"incorrect";"incorrect";"left";"m16";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";129359;1076998;1206367;90;3660;FALSE;"hit";"hit";"left";"m13";270;"-";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";37670;1076998;1114677;45;2838;FALSE;"hit";"hit";"left";"m14";45;"+";"noOutlier";0.571428571428571
"id14";1;0;"b";"left";139823;1076998;1216826;90;3658;FALSE;"incorrect";"incorrect";"right";"m15";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"right";143981;1076998;1220982;45;2877;FALSE;"hit";"hit";"right";"m16";45;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";147358;1076998;1224362;90;6361;FALSE;"hit";"hit";"left";"m16";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";137358;1076998;1214359;135;1965;FALSE;"hit";"hit";"left";"m3";135;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"right";161311;1076998;1238314;135;3578;FALSE;"hit";"hit";"right";"m16";225;"-";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";106566;1076998;1183573;45;2166;FALSE;"hit";"hit";"right";"m13";45;"+";"noOutlier";0.571428571428571
"id14";1;0;"a";"right";76447;1076998;1153455;135;4028;FALSE;"incorrect";"incorrect";"left";"m2";225;"-";"noOutlier";0.571428571428571
"id14";1;1;"b";"right";154219;1076998;1231227;90;6592;FALSE;"hit";"hit";"right";"m5";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";84647;1076998;1161653;135;2446;FALSE;"hit";"hit";"left";"m3";135;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";117624;1076998;1194633;45;4762;FALSE;"hit";"hit";"left";"m14";45;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";122886;1076998;1199887;90;2827;FALSE;"hit";"hit";"left";"m12";270;"-";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";126213;1076998;1203214;90;2646;FALSE;"hit";"hit";"left";"m3";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";48055;1076998;1125064;180;2756;FALSE;"hit";"hit";"left";"m13";180;"0";"noOutlier";0.571428571428571
"id14";1;0;"a";"right";87593;1076998;1164596;135;6216;FALSE;"incorrect";"incorrect";"left";"m15";135;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";94309;1076998;1171311;180;2212;FALSE;"hit";"hit";"right";"m3";180;"0";"noOutlier";0.571428571428571
"id14";1;1;"b";"right";97021;1076998;1174029;135;3605;FALSE;"hit";"hit";"right";"m4";225;"-";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";101126;1076998;1178133;90;2575;FALSE;"hit";"hit";"right";"m8";270;"-";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";104201;1076998;1181210;90;1865;FALSE;"hit";"hit";"right";"m14";90;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"left";66398;1076998;1143401;45;2746;FALSE;"hit";"hit";"left";"m7";45;"+";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";109232;1076998;1186233;45;1618;FALSE;"hit";"hit";"left";"m8";315;"-";"noOutlier";0.571428571428571
"id14";1;1;"b";"left";111350;1076998;1188359;135;3373;FALSE;"hit";"hit";"left";"m15";135;"+";"noOutlier";0.571428571428571
"id14";1;1;"a";"right";115223;1076998;1192231;135;1901;FALSE;"hit";"hit";"right";"m13";135;"+";"noOutlier";0.571428571428571
